sigla,year,works,citacoes
UFTM,2026,344,24
UFTM,2025,968,743
UFTM,2024,1072,1528
UFTM,2023,1158,2266
UFTM,2022,1086,4134
UFTM,2021,988,5437
UFTM,2020,1027,6659
UFTM,2019,869,7017
UFTM,2018,715,7383
UFTM,2017,750,7929
UFTM,2016,558,5686
UFTM,2015,558,6613
UFTM,2014,422,5226
UFTM,2013,437,6216
UFTM,2012,404,4846
UFTM,2011,292,5609
UFTM,2010,213,3413
UFU,2026,1171,80
UFU,2025,3312,2498
UFU,2024,3628,7342
UFU,2023,3447,12815
UFU,2022,3231,17806
UFU,2021,3645,27961
UFU,2020,3753,30838
UFU,2019,3599,29748
UFU,2018,2841,27091
UFU,2017,2732,28507
UFU,2016,2418,25911
UFU,2015,2407,22428
UFU,2014,2207,21633
UFU,2013,1824,21231
UFU,2012,1589,17871
UFU,2011,1392,17802
UFU,2010,976,17124
UFMG,2028,1,0
UFMG,2026,3575,317
UFMG,2025,9349,8667
UFMG,2024,9926,23463
UFMG,2023,9415,39257
UFMG,2022,8934,59994
UFMG,2021,9281,90422
UFMG,2020,9215,169809
UFMG,2019,7720,121435
UFMG,2018,7384,111131
UFMG,2017,7100,119544
UFMG,2016,6372,122881
UFMG,2015,5879,110335
UFMG,2014,5410,117763
UFMG,2013,4985,91874
UFMG,2012,4484,89130
UFMG,2011,3977,97472
UFMG,2010,3251,83232
UFV,2026,1430,140
UFV,2025,3801,3080
UFV,2024,4305,9388
UFV,2023,4867,17773
UFV,2022,4084,22012
UFV,2021,3729,35340
UFV,2020,3908,44756
UFV,2019,2943,41230
UFV,2018,2998,43174
UFV,2017,2872,42939
UFV,2016,2594,41858
UFV,2015,2313,45983
UFV,2014,2165,34952
UFV,2013,1888,37633
UFV,2012,1752,37339
UFV,2011,1622,30823
UFV,2010,1368,24885
UFJF,2026,1077,87
UFJF,2025,2987,2847
UFJF,2024,3650,5643
UFJF,2023,3013,11086
UFJF,2022,2691,13105
UFJF,2021,3324,24574
UFJF,2020,3352,27955
UFJF,2019,2470,29198
UFJF,2018,2250,27550
UFJF,2017,1927,30546
UFJF,2016,1732,26421
UFJF,2015,1728,27750
UFJF,2014,1406,23890
UFJF,2013,1161,20239
UFJF,2012,1080,29260
UFJF,2011,860,12809
UFJF,2010,657,9324
UFSJ,2026,301,16
UFSJ,2025,844,493
UFSJ,2024,1131,2317
UFSJ,2023,1227,4241
UFSJ,2022,1248,6697
UFSJ,2021,1311,11681
UFSJ,2020,1316,16307
UFSJ,2019,1161,15245
UFSJ,2018,1111,19047
UFSJ,2017,897,17700
UFSJ,2016,827,16237
UFSJ,2015,804,19337
UFSJ,2014,689,15267
UFSJ,2013,633,12238
UFSJ,2012,534,24826
UFSJ,2011,362,6577
UFSJ,2010,231,4501
