instituicao,oa_id,n
Universidade de São Paulo,I17974374,1749
Universidade Federal de Uberlândia,I80850581,1107
Universidade de Uberaba,I4210158152,780
Universidade de Ribeirão Preto,I1331278255,586
Universidade Estadual Paulista (Unesp),I879563668,581
Universidade Federal de Minas Gerais,I110200422,573
Universidade Federal de São Carlos,I177909021,419
Universidade Federal de São Paulo,I88273585,400
"Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro",I4210092444,397
Universidade Federal de Goiás,I68106152,357
Universidade Estadual de Campinas (UNICAMP),I181391015,303
Universidade Brasil,I3019322962,220
Universidade Federal do Rio de Janeiro,I122140584,216
Universidade Federal de Juiz de Fora,I101100930,183
Fundação Oswaldo Cruz,I52325,179
Universidade Federal de Viçosa,I146165071,170
Universidade de Brasília,I150729083,164
Universidade Federal do Pará,I59606676,162
Universidade Federal de Santa Catarina,I4104125,150
Universidade Federal do Ceará,I243754102,144
Universidade Federal do Rio Grande do Sul,I130442723,126
Universidade Federal da Paraíba,I169045520,125
Universidade Federal de Mato Grosso do Sul,I122558511,121
Universidade Federal da Bahia,I126158947,115
Hospital de Clínicas,I4210154927,109
